File;Source;Topic
essay23.txt;http://www.essayforum.com/writing-feedback-3/essay-effects-mobile-phones-17519/;Effects of mobile phones
essay24.txt;http://www.essayforum.com/undergraduate-essays-2/taks-essay-computer-has-negative-effects-children-17155/;computer has negative effects to children
essay25.txt;http://www.essayforum.com/undergraduate-essays-2/essay-influence-large-factory-17115/;Influence Of Large Factory
essay26.txt;http://www.essayforum.com/writing-feedback-3/essay-prepared-food-17090/;Prepared Food
essay27.txt;http://www.essayforum.com/writing-feedback-3/essay-financial-aid-developing-countries-17035/;Financial Aid To Developing Countries
essay28.txt;http://www.essayforum.com/writing-feedback-3/society-should-ban-all-forms-advertising-essay-for-16697/;Society should ban all forms of the advertising
essay29.txt;http://www.essayforum.com/writing-feedback-3/essay-married-women-usually-work-why-not-16560/;Do married women usually work? Why and why not?
wssay30.txt;http://www.essayforum.com/writing-feedback-3/essay-writing-government-education-16557/;Government And Education
essay31.txt;http://www.essayforum.com/writing-feedback-3/alternative-forms-transport-alleviate-traffic-congestion-40138/;Alternative forms of transport to alleviate traffic congestion
essay32.txt;http://www.essayforum.com/writing-feedback-3/giving-aid-poorer-countries-has-more-negative-effects-than-18453/;Giving aid to poorer countries has more negative effects than positive effect
essay33.txt;http://www.essayforum.com/writing-feedback-3/effects-globalization-decrease-global-tension-18439/;effects of globalization (decrease in global tension)
essay34.txt;http://www.essayforum.com/writing-feedback-3/study-school-get-job-18405/;Study at school or get a job?
essay35.txt;http://www.essayforum.com/writing-feedback-3/essay-high-sales-reflect-power-advertising-not-real-need-17906/;High sales reflect Power of Advertising and not the Real Need
essay36.txt;http://www.essayforum.com/writing-feedback-3/essay-gun-contral-17874/;Gun control
essay37.txt;http://www.essayforum.com/writing-feedback-3/writing-international-sporting-occasions-help-ease-17729/;International sporting occasions help to ease international tensions
essay38.txt;http://www.essayforum.com/graduate-essays-4/essay-technology-widen-gap-between-rich-poor-21056/;technology that widen the gap between rich and poor?
essay39.txt;http://www.essayforum.com/writing-feedback-3/why-should-human-beings-travel-outer-space-20952/;Why should human beings travel to outer space?
essay40.txt;http://www.essayforum.com/writing-feedback-3/benefits-students-doing-extra-jobs-20939/;Benefits of students doing extra jobs
essay41.txt;http://www.essayforum.com/writing-feedback-3/benefits-students-unpaid-work-20722/;Benefits of students' unpaid work
essay42.txt;http://www.essayforum.com/writing-feedback-3/paying-more-money-only-motivation-make-employees-work-harder-20711/;Paying more money is the only motivation to make employees work harder
essay43.txt;http://www.essayforum.com/writing-feedback-3/sporting-events-easing-international-tensions-releasing-20060/;Sporting events easing international tensions, releasing patriotic feelings
essay44.txt;http://www.essayforum.com/writing-feedback-3/government-should-make-more-effort-promote-alternative-19772/;Government should make more effort to promote alternative sources of energy
essay45.txt;http://www.essayforum.com/writing-feedback-3/gt-should-governments-responsible-help-unemployed-homeless-40169/;Should governments be responsible to help the unemployed and homeless
essay46.txt;http://www.essayforum.com/writing-feedback-3/true-function-university-essay-25755/;True Function of A University
essay47.txt;http://www.essayforum.com/writing-feedback-3/essay-zoos-should-built-protect-rural-animals-agree-24423/;zoos should be built to protect rural animals
essay48.txt;http://www.essayforum.com/writing-feedback-3/essay-distance-learning-vs-attending-school-person-23759/;distance-learning vs. attending school in person
essay49.txt;http://www.essayforum.com/writing-feedback-3/modern-communication-technologies-benefit-all-people-essay-23506/;Do modern communication technologies benefit all people
essay50.txt;http://www.essayforum.com/writing-feedback-3/essay-should-high-school-make-music-lessons-compulsory-23445/;Should high school make music lessons compulsory
essay51.txt;http://www.essayforum.com/writing-feedback-3/essay-pros-cons-developments-agriculture-23379/;pros and cons of developments in agriculture
essay52.txt;http://www.essayforum.com/writing-feedback-3/the-advantages-disadvantages-prevalent-english-23262/;advantages and disadvantages of the prevalent of English
essay53.txt;http://www.essayforum.com/writing-feedback-3/humans-should-able-use-animals-own-benefit-27603/;humans should be able to use animals for their own benefit?
essay54.txt;http://www.essayforum.com/writing-feedback-3/museums-art-galleries-disappear-soon-27515/;museums and art galleries will disappear soon?
essay55.txt;http://www.essayforum.com/writing-feedback-3/should-teenagers-learn-all-school-subjects-focus-one-subject-27187/;should teenagers learn all school subjects/focus on one subject
essay56.txt;http://www.essayforum.com/writing-feedback-3/influence-english-advantages-outweigh-disadvantages-26911/;Influence of English - advantages outweigh the disadvantages
essay57.txt;http://www.essayforum.com/writing-feedback-3/creativity-should-given-freedom-restrictions-26868/;creativity-should it be given freedom or restrictions
essay58.txt;http://www.essayforum.com/writing-feedback-3/competition-co-operation-better-26822/;competition or co-operation-which is better
essay59.txt;http://www.essayforum.com/writing-feedback-3/capital-punishment-necessary-not-26702/;capital punishment..necessary or not
essay60.txt;http://www.essayforum.com/writing-feedback-3/is-break-good-bad-after-high-school-students-26657/;is a break good or bad after high school for students
essay61.txt;http://www.essayforum.com/writing-feedback-3/computers-use-future-prospects-over-dependence-26655/;computers..use,future prospects and over-dependence
essay62.txt;http://www.essayforum.com/writing-feedback-3/should-universities-accept-equal-number-males-females-not-26654/;should universities accept equal number of males/females or not
essay63.txt;http://www.essayforum.com/writing-feedback-3/task-people-spend-less-time-cooking-food-28132/;people will spend less time on cooking food
essay64.txt;http://www.essayforum.com/writing-feedback-3/traditional-games-modern-games-developing-children-s-skills-28714/;Traditional games or modern games in developing children's skills
essay65.txt;http://www.essayforum.com/writing-feedback-3/government-shouldn-t-put-money-building-theaters-sports-28690/;government shouldn't put money on building theaters or sports stadiums
essay66.txt;http://www.essayforum.com/writing-feedback-3/technology-keeps-traditional-skills-ways-life-alive-not-28686/;Technology keeps traditional skills and ways of life alive or not?
essay67.txt;http://www.essayforum.com/writing-feedback-3/practice-attempt-creative-artists-28640/;Creative Artists
essay68.txt;http://www.essayforum.com/writing-feedback-3/should-goverment-control-media-crime-28414/;should goverment control media crime
essay69.txt;http://www.essayforum.com/writing-feedback-3/nowadays-more-opportunities-women-than-past-28338/;Nowadays there are more opportunities for women than there were in the past
essay70.txt;http://www.essayforum.com/writing-feedback-3/growing-traffic-pollution-controlled-increasing-petrol-28336/;Growing traffic & pollution can be controlled by increasing petrol prices
essay71.txt;http://www.essayforum.com/writing-feedback-3/should-all-advertisements-banned-29250/;should all the advertisements be banned?
essay72.txt;http://www.essayforum.com/writing-feedback-3/use-drugs-should-automatically-sentenced-time-prison-29213/;Those who use drugs should be automatically sentenced to time in prison
essay73.txt;http://www.essayforum.com/writing-feedback-3/image-more-powerful-than-written-word-29178/;Is image more powerful than the written word?
essay74.txt;http://www.essayforum.com/writing-feedback-3/several-languages-danger-extinction-29112/;Several languages are in danger of extinction
essay75.txt;http://www.essayforum.com/writing-feedback-3/do-arts-music-improve-quality-life-29000/;Do arts and music improve the quality of life?
essay76.txt;http://www.essayforum.com/writing-feedback-3/government-should-responsible-education-health-care-not-28777/;Government should be responsible for education and health care or not?
essay77.txt;http://www.essayforum.com/writing-feedback-3/protect-animals-zoos-should-banned-29767/;zoos should be banned
essay78.txt;http://www.essayforum.com/writing-feedback-3/economic-development-vs-environment-29747/;economic development vs environment
essay79.txt;http://www.essayforum.com/writing-feedback-3/government-should-spend-money-arts-not-only-public-services-29746/;Government should spend money on ARTs, not only on public services
essay80.txt;http://www.essayforum.com/writing-feedback-3/keeping-animals-zoos-right-wrong-29620/;Keeping animals in zoos
essay81.txt;http://www.essayforum.com/writing-feedback-3/essay-freedom-express-ideas-29565/;Artists' freedom to express ideas
essay82.txt;http://www.essayforum.com/writing-feedback-3/advertising-positive-negative-part-lives-29467/;Advertising - positive or negative part of our lives
essay83.txt;http://www.essayforum.com/writing-feedback-3/the-nuclear-power-provide-clean-cheap-energy-29457/;The nuclear power provide clean and cheap energy
essay84.txt;http://www.essayforum.com/writing-feedback-3/giving-mobile-phones-unemployed-essay-29393/;Giving mobile phones to the unemployed
essay85.txt;http://www.essayforum.com/writing-feedback-3/use-cctv-cameras-essay-29373/;Use of CCTV cameras
essay86.txt;http://www.essayforum.com/undergraduate-essays-2/teaching-researching-working-together-lead-success-writing-30213/;teaching and researching working together lead to the success
essay87.txt;http://www.essayforum.com/writing-feedback-3/can-petrol-price-increase-impact-reducing-traffic-pollution-30195/;Can petrol price increase impact on reducing traffic and pollution?
essay88.txt;http://www.essayforum.com/writing-feedback-3/topic-some-people-prefer-live-small-town-30079/;Prefer to live in a small town rather than a city
essay89.txt;http://www.essayforum.com/writing-feedback-3/topic-not-everything-learned-contained-books-29921/;Knowledge from experience is more important than that from books
essay90.txt;http://www.essayforum.com/writing-feedback-3/solve-traffic-housing-problems-moving-companies-rural-areas-29919/;Solve traffic and housing problems by moving companies to the rural areas?
